service,key,layer
TMS,administratif,ADMIN_EXPRESS
TMS,altimetrie,ISOHYPSE
TMS,cartes,PLAN.IGN
TMS,essentiels,ADMIN_EXPRESS
TMS,essentiels,PLAN.IGN
TMS,ocsge,OCSGE_2016
TMS,ocsge,OCSGE_2019
TMS,parcellaire,PCI
TMS,topographie,BDTOPO
WMS,administratif,ADMINEXPRESS-COG.LATEST
WMS,administratif,ADMINEXPRESS-COG-CARTO.LATEST
WMS,administratif,LIMITES_ADMINISTRATIVES_EXPRESS.LATEST
WMS,agriculture,HYDROGRAPHY.BCAE.LATEST
WMS,agriculture,PRAIRIES.SENSIBLES.BCAE
WMS,agriculture,GEOGRAPHICALGRIDSYSTEMS.SLOPES.PAC
WMS,agriculture,LANDUSE.AGRICULTURE2007
WMS,agriculture,LANDUSE.AGRICULTURE2008
WMS,agriculture,LANDUSE.AGRICULTURE2009
WMS,agriculture,LANDUSE.AGRICULTURE2010
WMS,agriculture,LANDUSE.AGRICULTURE2011
WMS,agriculture,LANDUSE.AGRICULTURE2012
WMS,agriculture,LANDUSE.AGRICULTURE2013
WMS,agriculture,LANDUSE.AGRICULTURE2014
WMS,agriculture,LANDUSE.AGRICULTURE2015
WMS,agriculture,LANDUSE.AGRICULTURE2016
WMS,agriculture,LANDUSE.AGRICULTURE2017
WMS,agriculture,LANDUSE.AGRICULTURE2018
WMS,agriculture,LANDUSE.AGRICULTURE2019
WMS,agriculture,LANDUSE.AGRICULTURE2020
WMS,agriculture,LANDUSE.AGRICULTURE2021
WMS,agriculture,LANDUSE.AGRICULTURE.LATEST
WMS,altimetrie,GEOGRAPHICALGRIDSYSTEMS.SLOPES.MOUNTAIN
WMS,altimetrie,ELEVATION.CONTOUR.LINE
WMS,altimetrie,ELEVATION.ELEVATIONGRIDCOVERAGE.SHADOW
WMS,altimetrie,ELEVATION.ELEVATIONGRIDCOVERAGE.HIGHRES.MNS.SHADOW
WMS,altimetrie,ELEVATIONGRIDCOVERAGE.HIGHRES.QUALITY
WMS,altimetrie,ELEVATION.ELEVATIONGRIDCOVERAGE.HIGHRES.MNS
WMS,altimetrie,ELEVATION.ELEVATIONGRIDCOVERAGE
WMS,altimetrie,ELEVATION.ELEVATIONGRIDCOVERAGE.SRTM3
WMS,altimetrie,ELEVATION.ELEVATIONGRIDCOVERAGE.HIGHRES
WMS,altimetrie,ELEVATION.ELEVATIONGRIDCOVERAGE.THRESHOLD
WMS,altimetrie,RGEALTI-MNT_PYR-ZIP_FXX_LAMB93_WMS
WMS,altimetrie,RGEALTI-MNT_PYR-ZIP_GLP_WGS84UTM20_WMS
WMS,altimetrie,RGEALTI-MNT_PYR-ZIP_MTQ_WGS84UTM20_WMS
WMS,altimetrie,RGEALTI-MNT_PYR-ZIP_GUF_UTM22RGFG95_WMS
WMS,altimetrie,RGEALTI-MNT_PYR-ZIP_REU_RGR92UTM40S_WMS
WMS,altimetrie,RGEALTI-MNT_PYR-ZIP_SPM_RGSPM06U21_WMS
WMS,altimetrie,RGEALTI-MNT_PYR-ZIP_MYT_RGM04UTM38S_WMS
WMS,cartes,GEOGRAPHICALGRIDSYSTEMS.ETATMAJOR10
WMS,cartes,GEOGRAPHICALGRIDSYSTEMS.ETATMAJOR40
WMS,cartes,GEOGRAPHICALGRIDSYSTEMS.PLANIGNV2
WMS,cartes,GEOGRAPHICALGRIDSYSTEMS.MAPS.BDUNI.J1
WMS,cartes,GEOGRAPHICALGRIDSYSTEMS.TERRIER_V1
WMS,cartes,GEOGRAPHICALGRIDSYSTEMS.TERRIER_V2
WMS,cartes,SCAN1000_PYR-JPEG_WLD_WM
WMS,cartes,GEOGRAPHICALGRIDSYSTEMS.MAPS.SCAN50.1950
WMS,cartes,SCANDEP_PYR-JPEG_FXX_WM
WMS,cartes,SCANREG_PYR-JPEG_WLD_WM
WMS,clc,LANDCOVER.CLC90_FR
WMS,clc,LANDCOVER.GRID.CLC90_FR
WMS,clc,LANDCOVER.CLC00_FR
WMS,clc,LANDCOVER.GRID.CLC00
WMS,clc,LANDCOVER.GRID.CLC00_FR
WMS,clc,LANDCOVER.GRID.CLC00_DOM
WMS,clc,LANDCOVER.GRID.CLC00R_FR
WMS,clc,LANDCOVER.CLC00_DOM
WMS,clc,LANDCOVER.CLC00R_FR
WMS,clc,LANDCOVER.CLC06_FR
WMS,clc,LANDCOVER.GRID.CLC06
WMS,clc,LANDCOVER.GRID.CLC06_FR
WMS,clc,LANDCOVER.GRID.CLC06_DOM
WMS,clc,LANDCOVER.GRID.CLC06R
WMS,clc,LANDCOVER.GRID.CLC06R_FR
WMS,clc,LANDCOVER.GRID.CLC06R_DOM
WMS,clc,LANDCOVER.CLC06_DOM
WMS,clc,LANDCOVER.CLC06R_FR
WMS,clc,LANDCOVER.CLC06R_DOM
WMS,clc,LANDCOVER.CLC12_FR
WMS,clc,LANDCOVER.GRID.CLC12
WMS,clc,LANDCOVER.CLC12_DOM
WMS,clc,LANDCOVER.HR.TCD.CLC12
WMS,clc,LANDCOVER.HR.IMD.CLC12
WMS,clc,LANDCOVER.HR.DLT.CLC12
WMS,clc,LANDCOVER.CLC12R
WMS,clc,LANDCOVER.CLC12R_FR
WMS,clc,LANDCOVER.CLC12R_DOM
WMS,clc,LANDCOVER.HR.GRA.CLC15
WMS,clc,LANDCOVER.HR.TCD.CLC15
WMS,clc,LANDCOVER.HR.IMD.CLC15
WMS,clc,LANDCOVER.HR.DLT.CLC15
WMS,clc,LANDCOVER.HR.WAW.CLC15
WMS,clc,LANDCOVER.CLC18
WMS,clc,LANDCOVER.CLC18_FR
WMS,clc,LANDCOVER.CLC18_DOM
WMS,clc,LANDCOVER.CHA00_FR
WMS,clc,LANDCOVER.CHA06_FR
WMS,clc,LANDCOVER.CHA06_DOM
WMS,clc,LANDCOVER.CHA12_FR
WMS,clc,LANDCOVER.CHA12_DOM
WMS,clc,LANDCOVER.CHA18_FR
WMS,clc,LANDCOVER.CHA18_DOM
WMS,clc,LANDCOVER.CHA18
WMS,cle personnelle *,GEOGRAPHICALGRIDSYSTEMS.MAPS
WMS,cle personnelle *,SCAN100_PYR-JPEG_WLD_WM
WMS,cle personnelle *,SCAN100_PYR-PNG_FXX_LAMB93
WMS,cle personnelle *,SCAN25TOUR_PYR-JPEG_WLD_WM
WMS,cle personnelle *,SCANOACI_PYR-JPEG_WLD_WM
WMS,economie,INSEE.FILOSOFI.PART.ENFANTS.0.17.ANS.SECRET
WMS,economie,INSEE.FILOSOFI.PART.PLUS.65.ANS.SECRET
WMS,economie,INSEE.FILOSOFI.POPULATION
WMS,economie,DREAL.ZONAGE_PINEL
WMS,economie,INSEE.FILOSOFI.PART.FAMILLES.MONOPARENTALES.SECRET
WMS,economie,INSEE.FILOSOFI.PART.INDIVIDUS.25.39.ANS.SECRET
WMS,economie,INSEE.FILOSOFI.PART.INDIVIDUS.40.54.ANS.SECRET
WMS,economie,INSEE.FILOSOFI.PART.INDIVIDUS.55.64.ANS.SECRET
WMS,economie,INSEE.FILOSOFI.PART.LOGEMENTS.COLLECTIFS.SECRET
WMS,economie,INSEE.FILOSOFI.PART.LOGEMENTS.APRES.1990.SECRET
WMS,economie,INSEE.FILOSOFI.PART.LOGEMENTS.AVANT.1945.SECRET
WMS,economie,INSEE.FILOSOFI.PART.LOGEMENTS.CONSTRUITS.1945.1970.SECRET
WMS,economie,INSEE.FILOSOFI.PART.LOGEMENTS.CONSTRUITS.1970.1990.SECRET
WMS,economie,INSEE.FILOSOFI.PART.LOGEMENTS.SOCIAUX.SECRET
WMS,economie,INSEE.FILOSOFI.PART.MENAGES.5.PERSONNES.OUPLUS.SECRET
WMS,economie,INSEE.FILOSOFI.PART.MENAGES.1.PERSONNE.SECRET
WMS,economie,INSEE.FILOSOFI.PART.MENAGES.MAISON.SECRET
WMS,economie,INSEE.FILOSOFI.PART.MENAGES.PAUVRES.SECRET
WMS,economie,INSEE.FILOSOFI.PART.MENAGES.PROPRIETAIRES.SECRET
WMS,economie,INSEE.FILOSOFI.NIVEAU.DE.VIE.SECRET
WMS,economie,INSEE.FILOSOFI.LOGEMENTS.SURFACE.MOYENNE.SECRET
WMS,enr,POTENTIEL.VENT.140M
WMS,enr,POTENTIEL.VENT.160M
WMS,environnement,PROTECTEDAREAS.GP
WMS,environnement,PROTECTEDAREAS.APLG
WMS,environnement,PROTECTEDAREAS.APHN
WMS,environnement,PROTECTEDAREAS.APB
WMS,environnement,PROTECTEDAREAS.APG
WMS,environnement,GEOGRAPHICALGRIDSYSTEM.DFCI
WMS,environnement,LANDCOVER.FORESTINVENTORY.V1
WMS,environnement,LANDCOVER.FORESTINVENTORY.V2
WMS,environnement,PROTECTEDAREAS.MNHN.CDL.PARCELS
WMS,environnement,PROTECTEDAREAS.MNHN.CDL.PERIMETER
WMS,environnement,PROTECTEDAREAS.MNHN.CONSERVATOIRES
WMS,environnement,FORETS.PUBLIQUES
WMS,environnement,PROTECTEDAREAS.INPG
WMS,environnement,PROTECTEDAREAS.PN
WMS,environnement,PROTECTEDAREAS.PNM
WMS,environnement,PROTECTEDAREAS.PNR
WMS,environnement,PROTECTEDAREAS.MNHN.RN.PERIMETER
WMS,environnement,PROTECTEDAREAS.PRSF
WMS,environnement,PROTECTEDAREAS.RB
WMS,environnement,PROTECTEDAREAS.BIOS
WMS,environnement,PROTECTEDAREAS.RIPN
WMS,environnement,PROTECTEDAREAS.RNCF
WMS,environnement,PROTECTEDAREAS.RNC
WMS,environnement,PROTECTEDAREAS.RN
WMS,environnement,PROTECTEDSITES.MNHN.RESERVES-REGIONALES
WMS,environnement,PROTECTEDAREAS.SIC
WMS,environnement,PROTECTEDAREAS.ZPS
WMS,environnement,PROTECTEDAREAS.ZNIEFF1
WMS,environnement,PROTECTEDAREAS.ZNIEFF1.SEA
WMS,environnement,PROTECTEDAREAS.ZNIEFF2
WMS,environnement,PROTECTEDAREAS.ZNIEFF2.SEA
WMS,environnement,PROTECTEDAREAS.ZPR
WMS,essentiels,LIMITES_ADMINISTRATIVES_EXPRESS.LATEST
WMS,essentiels,CADASTRALPARCELS.PARCELLAIRE_EXPRESS
WMS,essentiels,ORTHOIMAGERY.ORTHOPHOTOS
WMS,essentiels,GEOGRAPHICALGRIDSYSTEMS.PLANIGNV2
WMS,inspire,OI.OrthoimageCoverage
WMS,inspire,OI.OrthoimageCoverage.HR
WMS,inspire,CP.CadastralParcel
WMS,inspire,EL.GridCoverage
WMS,lambert93,SCANEM40_PYR_PNG_FXX_LAMB93
WMS,lambert93,ELEVATION.ELEVATIONGRIDCOVERAGE.HIGHRES.MNS.L93
WMS,ocsge,OCSGE.CONSTRUCTIONS
WMS,ocsge,OCSGE.CONSTRUCTIONS.2010
WMS,ocsge,OCSGE.CONSTRUCTIONS.2011
WMS,ocsge,OCSGE.CONSTRUCTIONS.2016
WMS,ocsge,OCSGE.CONSTRUCTIONS.2017
WMS,ocsge,OCSGE.CONSTRUCTIONS.2019
WMS,ocsge,OCSGE.COUVERTURE
WMS,ocsge,OCSGE.COUVERTURE.2010
WMS,ocsge,OCSGE.COUVERTURE.2011
WMS,ocsge,OCSGE.COUVERTURE.2016
WMS,ocsge,OCSGE.COUVERTURE.2017
WMS,ocsge,OCSGE.COUVERTURE.2019
WMS,ocsge,OCSGE.USAGE
WMS,ocsge,OCSGE.USAGE.2010
WMS,ocsge,OCSGE.USAGE.2011
WMS,ocsge,OCSGE.USAGE.2016
WMS,ocsge,OCSGE.USAGE.2017
WMS,ocsge,OCSGE.USAGE.2019
WMS,ocsge,OCSGE.VISU.2019
WMS,ocsge,OCSGE.VISU.2016
WMS,ortho,HR.ORTHOIMAGERY.ORTHOPHOTOS
WMS,ortho,ORTHOIMAGERY.ORTHOPHOTOS.BDORTHO
WMS,ortho,ORTHOIMAGERY.ORTHOPHOTOS.ORTHO-EXPRESS.2022
WMS,ortho,ORTHOIMAGERY.ORTHOPHOTOS.ORTHO-EXPRESS.2023
WMS,ortho,ORTHOIMAGERY.ORTHOPHOTOS.IRC-EXPRESS.2022
WMS,ortho,ORTHOIMAGERY.ORTHOPHOTOS.IRC-EXPRESS.2023
WMS,ortho,ORTHOIMAGERY.ORTHOPHOTOS.IRC
WMS,ortho,THR.ORTHOIMAGERY.ORTHOPHOTOS
WMS,ortho,ORTHOIMAGERY.ORTHOPHOTOS.ORTHO-ASP_PAC2023
WMS,ortho,PCRS.LAMB93
WMS,ortho,ORTHOIMAGERY.ORTHOPHOTOS
WMS,ortho,ORTHOIMAGERY.ORTHOPHOTOS.TPM.OMBRES
WMS,ortho,ORTHOIMAGERY.ORTHOPHOS.RESTRICTEDAREAS
WMS,orthohisto,ORTHOIMAGERY.ORTHOPHOTOS.1950-1965
WMS,orthohisto,ORTHOIMAGERY.ORTHOPHOTOS.SOCLE-ASP.2018
WMS,orthohisto,ORTHOIMAGERY.ORTHOPHOTOS.ORTHO-EXPRESS.2021
WMS,orthohisto,ORTHOIMAGERY.ORTHOPHOTOS.IRC-EXPRESS.2021
WMS,orthohisto,ORTHOIMAGERY.ORTHOPHOTOS.IRC.2012
WMS,orthohisto,ORTHOIMAGERY.ORTHOPHOTOS.IRC.2013
WMS,orthohisto,ORTHOIMAGERY.ORTHOPHOTOS.IRC.2014
WMS,orthohisto,ORTHOIMAGERY.ORTHOPHOTOS.IRC.2015
WMS,orthohisto,ORTHOIMAGERY.ORTHOPHOTOS.IRC.2016
WMS,orthohisto,ORTHOIMAGERY.ORTHOPHOTOS.IRC.2017
WMS,orthohisto,ORTHOIMAGERY.ORTHOPHOTOS.IRC.2018
WMS,orthohisto,ORTHOIMAGERY.ORTHOPHOTOS.IRC.2019
WMS,orthohisto,ORTHOIMAGERY.ORTHOPHOTOS.IRC.2020
WMS,orthohisto,ORTHOIMAGERY.ORTHOPHOTOS.ORTHO-ASP_PAC2020
WMS,orthohisto,ORTHOIMAGERY.ORTHOPHOTOS.ORTHO-ASP_PAC2021
WMS,orthohisto,ORTHOIMAGERY.ORTHOPHOTOS.ORTHO-ASP_PAC2022
WMS,orthohisto,ORTHOIMAGERY.ORTHOPHOTOS.URGENCE.ALEX
WMS,orthohisto,ORTHOIMAGERY.ORTHOPHOTOS2000
WMS,orthohisto,ORTHOIMAGERY.ORTHOPHOTOS2000-2005
WMS,orthohisto,ORTHOIMAGERY.ORTHOPHOTOS2001
WMS,orthohisto,ORTHOIMAGERY.ORTHOPHOTOS2002
WMS,orthohisto,ORTHOIMAGERY.ORTHOPHOTOS2003
WMS,orthohisto,ORTHOIMAGERY.ORTHOPHOTOS2004
WMS,orthohisto,ORTHOIMAGERY.ORTHOPHOTOS2005
WMS,orthohisto,ORTHOIMAGERY.ORTHOPHOTOS2006
WMS,orthohisto,ORTHOIMAGERY.ORTHOPHOTOS2006-2010
WMS,orthohisto,ORTHOIMAGERY.ORTHOPHOTOS2007
WMS,orthohisto,ORTHOIMAGERY.ORTHOPHOTOS2008
WMS,orthohisto,ORTHOIMAGERY.ORTHOPHOTOS2009
WMS,orthohisto,ORTHOIMAGERY.ORTHOPHOTOS2010
WMS,orthohisto,ORTHOIMAGERY.ORTHOPHOTOS2011
WMS,orthohisto,ORTHOIMAGERY.ORTHOPHOTOS2011-2015
WMS,orthohisto,ORTHOIMAGERY.ORTHOPHOTOS2012
WMS,orthohisto,ORTHOIMAGERY.ORTHOPHOTOS2013
WMS,orthohisto,ORTHOIMAGERY.ORTHOPHOTOS2014
WMS,orthohisto,ORTHOIMAGERY.ORTHOPHOTOS2015
WMS,orthohisto,ORTHOIMAGERY.ORTHOPHOTOS2016
WMS,orthohisto,ORTHOIMAGERY.ORTHOPHOTOS2017
WMS,orthohisto,ORTHOIMAGERY.ORTHOPHOTOS2018
WMS,orthohisto,ORTHOIMAGERY.ORTHOPHOTOS2019
WMS,orthohisto,ORTHOIMAGERY.ORTHOPHOTOS2020
WMS,parcellaire,CADASTRALPARCELS.PARCELS
WMS,parcellaire,CADASTRALPARCELS.HEATMAP
WMS,parcellaire,Aire-Parcellaire
WMS,parcellaire,CADASTRALPARCELS.PARCELLAIRE_EXPRESS
WMS,parcellaire,CADASTRALPARCELS.HISTO.2008-2013.PARCELS
WMS,satellite,ORTHOIMAGERY.ORTHO-SAT.PLEIADES.2012
WMS,satellite,ORTHOIMAGERY.ORTHO-SAT.PLEIADES.2013
WMS,satellite,ORTHOIMAGERY.ORTHO-SAT.PLEIADES.2014
WMS,satellite,ORTHOIMAGERY.ORTHO-SAT.PLEIADES.2015
WMS,satellite,ORTHOIMAGERY.ORTHO-SAT.PLEIADES.2016
WMS,satellite,ORTHOIMAGERY.ORTHO-SAT.PLEIADES.2017
WMS,satellite,ORTHOIMAGERY.ORTHO-SAT.PLEIADES.2018
WMS,satellite,ORTHOIMAGERY.ORTHO-SAT.PLEIADES.2019
WMS,satellite,ORTHOIMAGERY.ORTHO-SAT.PLEIADES.2020
WMS,satellite,ORTHOIMAGERY.ORTHO-SAT.PLEIADES.2021
WMS,satellite,ORTHOIMAGERY.ORTHO-SAT.PLEIADES.2022
WMS,satellite,ORTHOIMAGERY.ORTHO-SAT.RAPIDEYE.2010
WMS,satellite,ORTHOIMAGERY.ORTHO-SAT.RAPIDEYE.2011
WMS,satellite,ORTHOIMAGERY.ORTHO-SAT.SPOT.2013
WMS,satellite,ORTHOIMAGERY.ORTHO-SAT.SPOT.2014
WMS,satellite,ORTHOIMAGERY.ORTHO-SAT.SPOT.2015
WMS,satellite,ORTHOIMAGERY.ORTHO-SAT.SPOT.2016
WMS,satellite,ORTHOIMAGERY.ORTHO-SAT.SPOT.2017
WMS,satellite,ORTHOIMAGERY.ORTHO-SAT.SPOT.2018
WMS,satellite,ORTHOIMAGERY.ORTHO-SAT.SPOT.2019
WMS,satellite,ORTHOIMAGERY.ORTHO-SAT.SPOT.2020
WMS,satellite,ORTHOIMAGERY.ORTHO-SAT.SPOT.2021
WMS,sol,BDCARTO_ETAT-MAJOR.NIVEAU3
WMS,sol,BDCARTO_ETAT-MAJOR.NIVEAU4
WMS,transports,SECUROUTE.TE.PN
WMS,transports,SECUROUTE.TE.PND
WMS,transports,SECUROUTE.TE.ALL
WMS,transports,SECUROUTE.TE.OA
WMS,transports,SECUROUTE.TE.1TE
WMS,transports,SECUROUTE.TE.2TE48
WMS,transports,SECUROUTE.TE.TE72
WMS,transports,SECUROUTE.TE.TE94
WMS,transports,SECUROUTE.TE.TE120
WMS,transports,TRANSPORTS.DRONES.RESTRICTIONS
WMS,transports,TRANSPORTNETWORKS.ROADS.DIRECTION
WMS,adresse,BAN.DATA.GOUV
WMS,altimetrie,ELEVATIONGRIDCOVERAGE.HIGHRES.QUALITY
WMS,cartes,GEOGRAPHICALGRIDSYSTEMS.MAPS.SCAN25.GRAPHE-MOSAIQUAGE
WMS,cartovecto,BDCARTO-ADMINISTRATIF_WLD_WGS84G
WMS,cartovecto,BDCARTO-BATI_WLD_WGS84G
WMS,cartovecto,BDCARTO-HYDROGRAPHIE_WLD_WGS84G
WMS,cartovecto,BDCARTO-LIEUX_NOMMES_WLD_WGS84G
WMS,cartovecto,BDCARTO-OCCUPATION_DU_SOL_WLD_WGS84G
WMS,cartovecto,BDCARTO-SERVICE_ET_ACTIVITES_WLD_WGS84G
WMS,cartovecto,BDCARTO-TRANSPORT_WLD_WGS84G
WMS,cartovecto,BDCARTO-ZONES_REGLEMENTEES_WLD_WGS84G
WMS,cartovecto,STATISTICALUNITS.IRIS
WMS,cartovecto,STATISTICALUNITS.IRISGE
WMS,cartovecto,CLEFVERTE
WMS,cartovecto,COMMUNESTOURISTIQUES
WMS,cartovecto,PAVILLONBLEU
WMS,cartovecto,STATIONSCLASSEES
WMS,cartovecto,STATIONSVERTES
WMS,cartovecto,VILLAGESETAPE
WMS,economie,INSEE.FILOSOFI.PART.ENFANTS.0.17.ANS.SECRET
